Title,Author,Additional Authors,Reference
Never Let Me Go,Kazuo Ishiguro,,
Life,Keith Richards,James Fox,
One Flew Over the Cuckoo's Nest,Ken Kesey,,
"Anna Dressed in Blood (Anna, #1)",Kendare Blake,,
I Can't Make This Up: Life Lessons,Kevin  Hart,Neil Strauss,
Sex and Vanity,Kevin Kwan,,
"Rich People Problems (Crazy Rich Asians, #3)",Kevin Kwan,,
"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,,
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,,
The Kite Runner,Khaled Hosseini,Berliani M. Nugrahani,
A Thousand Splendid Suns,Khaled Hosseini,,
Such a Fun Age,Kiley Reid,,
Reconstructing Amelia,Kimberly McCreight,,
"A Little Bit Wicked: Life, Love, and Faith in Stages",Kristin Chenoweth,Joni Rodgers,
The Four Winds,Kristin Hannah,,
Winter Garden,Kristin Hannah,,
"Fly Away (Firefly Lane, #2)",Kristin Hannah,,
Firefly Lane #2,Kristin Hannah,,
Firefly Lane #1,Kristin Hannah,,
"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,,
The Things We Do for Love,Kristin Hannah,,
The Great Alone,Kristin Hannah,,
The Nightingale,Kristin Hannah,,
Sold on a Monday,Kristina McMorris,,
Bonfire,Krysten Ritter,,
"Yes, My Accent Is Real: and Some Other Things I Haven't Told You",Kunal Nayyar,,
Slaughterhouse-Five,Kurt Vonnegut Jr.,,
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,,
Seabiscuit: An American Legend,Laura Hillenbrand,,
The Chaperone,Laura Moriarty,,
The Shining Girls,Lauren Beukes,,
"In Conclusion, Don't Worry About It",Lauren Graham,,
"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls, and Everything in Between",Lauren Graham,,
Introvert Power: Why Your Inner Life Is Your Hidden Strength,Laurie A. Helgoe,,
Troublemaker: Surviving Hollywood and Scientology,Leah Remini,Rebecca Paley,
"Killing Floor (Jack Reacher, #1)",Lee Child,,
"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",Lena Dunham,Joana Avillez,
Nine Perfect Strangers,Liane Moriarty,,
Big Little Lies,Liane Moriarty,,
Evvie Drake Starts Over,Linda  Holmes,,
The Only Pirate at the Party,Lindsey Stirling,Brooke S. Passey,
Severance,Ling  Ma,,
We Need to Talk About Kevin,Lionel Shriver,,
Small Fry: A Memoir,Lisa Brennan-Jobs,,
Still Alice,Lisa Genova,,
The Family Upstairs,Lisa Jewell,,
Invisible Girl,Lisa Jewell,,
Then She Was Gone,Lisa Jewell,,
The House We Grew Up In,Lisa Jewell,,
The Third Wife,Lisa Jewell,,
Before I Met You,Lisa Jewell,,
"The Unwanteds (Unwanteds, #1)",Lisa McMann,,
Three Women,Lisa Taddeo,,
The Book of Lost Friends,Lisa Wingate,,
Before We Were Yours,Lisa Wingate,,
The Wife Stalker,Liv Constantine,,
The Last Mrs. Parrish,Liv Constantine,,
Code Girls: The Untold Story of the American Women Code Breakers of World War II,Liza Mundy,,
"The Giver (The Giver, #1)",Lois Lowry,,
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,,
Little Women,Louisa May Alcott,,
The True Story of Hansel and Gretel,Louise Murphy,,
The Guest List,Lucy Foley,,
The Hunting Party,Lucy Foley,,
West with Giraffes,Lynda Rutledge,,
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,,
The Secret Messenger,Mandy  Robotham,,
Where Am I Now?,Mara Wilson,,
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,,
Gone with the Wind,Margaret Mitchell,,
Oona Out of Order,Margarita Montimore,,
Best Friends Forever,Margot Hunt,,
For Better and Worse,Margot Hunt,,
Hidden Figures,Margot Lee Shetterly,,
"Where'd You Go, Bernadette",Maria Semple,,
This Is Where It Ends,Marieke Nijkamp,,
The Opposite of Loneliness: Essays and Stories,Marina Keegan,,
Night Film,Marisha Pessl,,
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,,
I Am the Messenger,Markus Zusak,Emmanuel Pailler,
The Book Thief,Markus Zusak,,
"Lilac Girls (Lilac Girls, #1)",Martha Hall Kelly,,
I Must Say: My Life as a Humble Comedy Legend,Martin  Short,,
The Weekenders,Mary Kay Andrews,,
The Good Girl,Mary Kubica,,
Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,Mary L. Trump,,
The Midnight Library,Matt Haig,,
Reasons to Stay Alive,Matt Haig,,
The Silver Linings Playbook,Matthew Quick,,
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,,
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre,Max Brooks,,
Devolution,Max Brooks,,
World War Z: An Oral History of the Zombie War,Max Brooks,,
Two Truths and a Lie,Meg Mitchell Moore,,
Dare Me,Megan Abbott,,
The Greatest Love Story Ever Told,Megan Mullally,Nick Offerman,
The Book of Essie,Meghan MacLean Weir,,
Saving Francesca,Melina Marchetta,,
